,Date,Average Buy Size,", Average Sell Size",Max buy size,Max sell size, Buy volume,sell volume,Total volume traded, EOD Price in USD,Average Liquidity in Pool
0,06-05-20,0.0,28154810073.04845,0.0,28154810073.04845,0.0,28154810073.04845,28154810073.04845,1107.0997287376683,241175775.7657382
1,11-05-20,0.0,13425113580.703062,0.0,13425113580.703062,0.0,13425113580.703062,13425113580.703062,918.8094055684401,82892242.07860243
2,14-05-20,0.0,107883119.89000489,0.0,372219210.31362265,0.0,215766239.78000978,215766239.78000978,0.9960637357856245,9365343.550356498
3,18-05-20,1026675166.7990979,1585261.9186868477,2039237857.5802948,7930282578.232927,2053350333.5981958,15852619.186868478,2069202952.7850642,436.798657973472,22660939.98590666
4,19-05-20,5572157668.7111,3494759.0608220273,27268815019.437912,1389527149.828884,27860788343.5555,104842771.82466082,27965631115.38016,1077.8807670392766,10948443.633979337
5,20-05-20,0.0,1432159.2067144674,0.0,576683643.6983517,0.0,12889432.860430207,12889432.860430207,893.2273189449646,2171047.7512376835
6,21-05-20,0.0,43951452.379032515,0.0,43951452.379032515,0.0,43951452.379032515,43951452.379032515,1177.361433307185,3591114.677616987
7,22-05-20,53790580.17913808,309489248.09878576,94762016.2443786,618978496.1975715,107581160.35827616,618978496.1975715,726559656.5558476,1089.1077442332603,1886014.9701741585
8,23-05-20,85968707.4424922,43447911.37292012,85968707.4424922,86895822.74584024,85968707.4424922,86895822.74584024,172864530.18833244,1463.4081885819626,1459414.8519341878
9,24-05-20,0.0,126102380.65900418,0.0,126102380.65900418,0.0,126102380.65900418,126102380.65900418,1412.39766357513,535260.1797876064
10,25-05-20,0.0,9680357.852518914,0.0,278560337.1421782,0.0,19360715.70503783,19360715.70503783,0.9975872401377697,6004281.4673489705
11,28-05-20,0.0,22766307.63291299,0.0,45532615.26582598,0.0,45532615.26582598,45532615.26582598,1974.8123981420638,2081062.052147762
12,29-05-20,504075251.9447687,18251653.553460155,504075251.9447687,69831421.26945013,504075251.9447687,54754960.66038047,558830212.6051491,1303.3613633044317,4836126.852860631
13,30-05-20,87447759.23953272,0.0,87447759.23953272,0.0,87447759.23953272,0.0,87447759.23953272,284.94635701344095,770.7742870493063
